p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
waist	bun	-0.9724	1.9009	-0.5116	0.609	0.2288	0.531	1.0066	0.0132	0.0405	0.0098
waist	cholesterol					-0.3128	0.4189	1.0084	0.0131	0.0656	0.0101
waist	creatinine										
waist	dbp	0.5602	0.5261	1.0648	0.287	0.8552	0.4356	0.9885	0.0124	0.197	0.0095
waist	drink										
waist	eos	-2.1004	4.6294	-0.4537	0.65	0.2431	0.769	0.9983	0.0187	0.1259	0.0098
waist	ggt					-0.9856	0.6272	1.0264	0.0149	0.2577	0.0095
waist	glucose										
waist	hb	1.3391	2.3887	0.5606	0.5751	0.2042	0.5233	0.9988	0.013	0.0849	0.0097
waist	hdl					-0.4632	0.4337	1.0215	0.0125	-0.2648	0.0108
waist	height	0.454	0.8649	0.5249	0.5996	0.3614	0.5811	0.9933	0.015	0.1715	0.0098
waist	ldl					-0.2165	0.4622	1.0063	0.0155	0.144	0.0097
waist	lymph					-0.0215	0.5302	1.0203	0.0129	0.1746	0.0097
waist	mono	-0.352	1.7266	-0.2039	0.8384	0.1729	0.5328	1.0104	0.0139	0.2191	0.0096
waist	neut					-0.7117	0.543	1.028	0.0122	0.2607	0.0098
waist	plt	0.0048	0.8269	0.0058	0.9954	0.4666	0.5916	1.0	0.0142	0.1685	0.0099
waist	rbc					-2.9982	16.836	1.061	0.4035	0.1564	0.0094
waist	sbp	0.8414	0.5193	1.6203	0.1052	1.105	0.446	0.9865	0.0129	0.2129	0.01
waist	smoke										
waist	triglycerides	0.1675	0.7164	0.2339	0.8151	0.5145	0.4428	1.0016	0.0126	0.226	0.0102
waist	wbc					-0.9144	0.5375	1.0344	0.0121	0.2812	0.0099
wbc	alt					-1.029	0.5813	1.0274	0.0133	0.1393	0.0091
wbc	creatinine					0.0621	0.5271	1.0078	0.0149	-0.0245	0.0104
wbc	glucose					0.0051	0.47	1.0086	0.0136	0.0762	0.0103
wbc	hb					0.2042	0.5233	0.9988	0.013	0.1359	0.0092
